ID,FAST_EMA,SLOW_EMA,SL_PCT,ROI,TRADES,WIN_RATE
VARIACION_075,3,23,1.65,17.86,11,36.36
VARIACION_015,8,24,0.81,15.2,18,22.22
VARIACION_159,9,24,2.23,15.07,9,33.33
VARIACION_133,6,22,1.69,14.43,11,36.36
VARIACION_108,9,20,1.7,14.08,11,36.36
VARIACION_071,6,15,1.67,13.95,11,27.27
VARIACION_140,9,21,2.28,13.7,9,33.33
VARIACION_170,9,20,1.75,12.18,11,36.36
VARIACION_171,4,16,1.75,12.17,11,36.36
VARIACION_049,10,20,1.76,11.79,11,36.36
VARIACION_130,10,18,1.76,11.79,11,36.36
VARIACION_074,10,15,1.77,11.35,11,36.36
VARIACION_143,6,19,1.78,10.97,11,36.36
VARIACION_042,3,24,2.88,10.52,8,37.5
VARIACION_155,10,15,2.43,9.61,9,33.33
VARIACION_054,10,15,2.43,9.61,9,33.33
VARIACION_192,9,25,0.82,9.39,19,21.05
VARIACION_052,3,22,0.85,9.33,21,19.05
VARIACION_198,10,18,2.45,9.05,9,33.33
VARIACION_176,10,21,1.36,8.81,13,23.08
VARIACION_062,3,16,1.83,8.76,11,27.27
VARIACION_134,6,16,1.84,8.37,11,27.27
VARIACION_028,7,18,1.87,7.3,11,27.27
VARIACION_034,3,13,2.01,6.92,11,36.36
VARIACION_157,9,12,1.88,6.92,11,27.27
VARIACION_067,6,14,2.01,6.92,11,36.36
VARIACION_013,6,24,1.85,6.83,11,27.27
VARIACION_127,5,16,1.91,5.74,11,27.27
VARIACION_031,4,17,1.91,5.74,11,27.27
VARIACION_077,4,21,2.11,4.9,11,36.36
VARIACION_065,3,14,0.57,4.83,28,14.29
VARIACION_053,10,16,2.62,4.38,9,33.33
VARIACION_030,3,13,0.87,3.78,21,19.05
VARIACION_148,10,12,1.94,3.55,11,27.27
VARIACION_165,10,13,2.1,3.03,10,30.0
VARIACION_156,5,23,2.07,2.28,11,36.36
VARIACION_020,6,22,0.75,2.04,22,18.18
VARIACION_050,5,25,1.44,1.28,14,28.57
VARIACION_142,7,16,1.44,1.27,14,28.57
VARIACION_187,8,17,2.21,0.74,11,36.36
VARIACION_072,8,12,1.45,0.73,14,28.57
VARIACION_145,7,19,0.66,0.09,26,15.38
VARIACION_022,6,17,0.67,-1.13,26,15.38
VARIACION_010,5,12,1.42,-1.43,18,22.22
VARIACION_048,8,14,1.53,-3.84,14,28.57
VARIACION_073,4,23,1.54,-4.4,14,28.57
VARIACION_185,5,21,0.94,-4.56,22,18.18
VARIACION_002,8,21,1.98,-5.18,8,25.0
VARIACION_081,9,17,1.99,-5.45,8,25.0
VARIACION_110,4,17,1.99,-5.45,8,25.0
VARIACION_195,5,18,1.99,-5.45,8,25.0
VARIACION_179,6,14,1.56,-5.49,14,28.57
VARIACION_070,7,23,0.88,-5.64,21,19.05
VARIACION_177,10,16,0.88,-5.64,21,19.05
VARIACION_173,8,17,0.88,-5.64,21,19.05
VARIACION_141,10,19,0.59,-5.66,30,13.33
VARIACION_004,8,16,0.57,-6.36,31,12.9
