Strategy,Entry,Exit,PnL,Type
GoldMasterGrid,5336.79,5334.79,-0.02268632,short
GoldMasterGrid,5335.76,5333.76,-0.022678080000000007,short
GoldMasterGrid,5332.75,5330.75,-0.022654000000000004,short
GoldMasterGrid,5326.09,5328.09,-0.022616720000000003,long
GoldMasterGrid,5332.85,5330.85,-0.022654800000000006,short
GoldMasterGrid,5335.0,5333.0,-0.022672,short
GoldMasterGrid,5333.15,5335.15,-0.022673199999999994,long
GoldMasterGrid,5335.47,5337.47,-0.022691760000000002,long
GoldMasterGrid,5338.01,5336.01,-0.022696080000000004,short
GoldMasterGrid,5341.54,5343.54,-0.022740319999999998,long
GoldMasterGrid,5350.45,5352.45,-0.022811600000000005,long
GoldMasterGrid,5360.94,5362.94,-0.02289552,long
GoldMasterGrid,5361.4,5363.4,-0.022899199999999998,long
GoldMasterGrid,5358.86,5360.86,-0.022878879999999994,long
GoldMasterGrid,5352.48,5354.48,-0.02282784,long
GoldMasterGrid,5350.88,5352.88,-0.022815040000000005,long
GoldMasterGrid,5352.66,5354.66,-0.022829279999999997,long
GoldMasterGrid,5355.75,5357.75,-0.022854000000000003,long
GoldMasterGrid,5360.27,5362.27,-0.02289016000000001,long
GoldMasterGrid,5354.86,5356.86,-0.022846880000000003,long
GoldMasterGrid,5356.07,5358.07,-0.02285656,long
GoldMasterGrid,5354.0,5356.0,-0.022840000000000003,long
GoldMasterGrid,5354.25,5356.25,-0.022842000000000005,long
GoldMasterGrid,5355.0,5357.0,-0.022848000000000004,long
GoldMasterGrid,5364.81,5362.81,-0.022910480000000007,short
GoldMasterGrid,5338.75,5340.75,-0.022718000000000006,long
GoldMasterGrid,5339.62,5341.62,-0.022724960000000006,long
GoldMasterGrid,5342.22,5344.22,-0.022745760000000007,long
GoldMasterGrid,5353.82,5351.82,-0.022822559999999995,short
GoldMasterGrid,5357.3,5355.3,-0.022850400000000003,short
GoldMasterGrid,5358.45,5356.45,-0.022859599999999997,short
GoldMasterGrid,5339.96,5341.96,-0.022727680000000004,long
GoldMasterGrid,5342.35,5344.35,-0.022746800000000008,long
GoldMasterGrid,5341.45,5343.45,-0.022739600000000002,long
GoldMasterGrid,5346.0,5344.0,-0.02276,short
GoldMasterGrid,5344.15,5342.15,-0.022745199999999997,short
GoldMasterGrid,5336.42,5338.42,-0.022699360000000005,long
GoldMasterGrid,5345.29,5343.29,-0.022754319999999998,short
GoldMasterGrid,5345.78,5343.78,-0.022758240000000002,short
GoldMasterGrid,5340.9,5342.9,-0.0227352,long
GoldMasterGrid,5340.57,5342.57,-0.022732560000000002,long
GoldMasterGrid,5345.79,5343.79,-0.022758320000000002,short
GoldMasterGrid,5347.76,5345.76,-0.022774080000000006,short
GoldMasterGrid,5357.57,5355.57,-0.022852559999999997,short
GoldMasterGrid,5354.8,5352.8,-0.022830400000000004,short
GoldMasterGrid,5357.25,5355.25,-0.02285,short
GoldMasterGrid,5358.32,5356.32,-0.022858559999999997,short
GoldMasterGrid,5348.8,5350.8,-0.0227984,long
GoldMasterGrid,5348.86,5350.86,-0.022798880000000004,long
GoldMasterGrid,5349.53,5351.53,-0.02280424,long
GoldMasterGrid,5352.16,5354.16,-0.02282528,long
GoldMasterGrid,5354.57,5352.57,-0.02282856,short
GoldMasterGrid,5350.85,5352.85,-0.022814800000000007,long
GoldMasterGrid,5350.83,5352.83,-0.02281464,long
GoldMasterGrid,5343.33,5341.33,-0.02273864,short
GoldMasterGrid,5336.76,5338.76,-0.022702080000000003,long
GoldMasterGrid,5340.91,5338.91,-0.022719280000000005,short
GoldMasterGrid,5336.88,5338.88,-0.022703040000000004,long
GoldMasterGrid,5339.14,5337.14,-0.022705120000000006,short
GoldMasterGrid,5336.55,5334.55,-0.022684400000000004,short
GoldMasterGrid,5334.28,5336.28,-0.022682240000000003,long
GoldMasterGrid,5333.9,5028.71,-3.0933504399999965,long
LiquidityHunter2026,5336.79,5331.79,-0.083406888,long
LiquidityHunter2026,5332.34,5337.34,-0.083410848,short
LiquidityHunter2026,5337.6,5352.6,0.09651527999999998,long
LiquidityHunter2026,5353.33,5348.33,-0.083525976,long
