Estrategia,Lógica,ROI_%,WinRate_%,Final_USD,Trades
Warrior_ADN_1,Micro-Momentum,-100.0,36.36,0,11
Warrior_ADN_2,Micro-Momentum,-100.0,36.36,0,11
Warrior_ADN_3,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_4,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_5,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_6,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_7,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_8,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_9,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_10,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_11,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_12,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_13,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_14,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_15,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_16,Micro-Momentum,-100.0,40.0,0,10
Warrior_ADN_17,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_18,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_19,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_20,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_21,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_22,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_23,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_24,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_25,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_26,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_27,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_28,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_29,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_30,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_31,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_32,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_33,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_34,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_35,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_36,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_37,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_38,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_39,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_40,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_41,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_42,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_43,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_44,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_45,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_46,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_47,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_48,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_49,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_50,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_51,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_52,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_53,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_54,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_55,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_56,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_57,Micro-Momentum,-100.0,50.0,0,4
Warrior_ADN_58,Micro-Momentum,-100.0,50.0,0,4
