ID,GATILLO_USD,TOTAL_TRADES,TRADES_DIA,ROI_FINAL
HFT_TITAN_153,7.75,537,53.7,-100.0
HFT_TITAN_193,9.75,510,51.0,-100.0
HFT_TITAN_143,7.25,508,50.8,-100.0
HFT_TITAN_152,7.7,500,50.0,-100.0
HFT_TITAN_132,6.7,497,49.7,-100.0
HFT_TITAN_118,6.0,495,49.5,-100.0
HFT_TITAN_181,9.15,494,49.4,-100.0
HFT_TITAN_110,5.6,491,49.1,-100.0
HFT_TITAN_103,5.25,480,48.0,-100.0
HFT_TITAN_125,6.35,471,47.1,-100.0
HFT_TITAN_089,4.55,468,46.8,-100.0
HFT_TITAN_024,1.3,466,46.6,-100.0
HFT_TITAN_074,3.8,464,46.4,-100.0
HFT_TITAN_023,1.25,463,46.3,-100.0
HFT_TITAN_056,2.9,461,46.1,-100.0
HFT_TITAN_017,0.95,459,45.9,-100.0
HFT_TITAN_086,4.4,458,45.8,-100.0
HFT_TITAN_098,5.0,457,45.7,-100.0
HFT_TITAN_158,8.0,457,45.7,-100.0
HFT_TITAN_014,0.8,456,45.6,-100.0
HFT_TITAN_073,3.75,455,45.5,-100.0
HFT_TITAN_027,1.45,455,45.5,-100.0
HFT_TITAN_124,6.3,454,45.4,-100.0
HFT_TITAN_184,9.3,453,45.3,-100.0
HFT_TITAN_071,3.65,453,45.3,-100.0
HFT_TITAN_075,3.85,449,44.9,-100.0
HFT_TITAN_109,5.55,448,44.8,-100.0
HFT_TITAN_121,6.15,446,44.6,-100.0
HFT_TITAN_178,9.0,444,44.4,-100.0
HFT_TITAN_009,0.55,442,44.2,-100.0
HFT_TITAN_114,5.8,439,43.9,-100.0
HFT_TITAN_040,2.1,438,43.8,-100.0
HFT_TITAN_008,0.5,437,43.7,-100.0
HFT_TITAN_126,6.4,437,43.7,-100.0
HFT_TITAN_120,6.1,436,43.6,-100.0
HFT_TITAN_122,6.2,436,43.6,-100.0
HFT_TITAN_101,5.15,434,43.4,-100.0
HFT_TITAN_179,9.05,434,43.4,-100.0
HFT_TITAN_166,8.4,431,43.1,-100.0
HFT_TITAN_016,0.9,431,43.1,-100.0
HFT_TITAN_080,4.1,429,42.9,-100.0
HFT_TITAN_174,8.8,429,42.9,-100.0
HFT_TITAN_144,7.3,428,42.8,-100.0
HFT_TITAN_131,6.65,427,42.7,-100.0
HFT_TITAN_038,2.0,425,42.5,-100.0
HFT_TITAN_107,5.45,425,42.5,-100.0
HFT_TITAN_164,8.3,424,42.4,-100.0
HFT_TITAN_183,9.25,424,42.4,-100.0
HFT_TITAN_042,2.2,422,42.2,-100.0
HFT_TITAN_037,1.95,421,42.1,-100.0
HFT_TITAN_093,4.75,421,42.1,-100.0
HFT_TITAN_013,0.75,420,42.0,-100.0
HFT_TITAN_176,8.9,419,41.9,-100.0
HFT_TITAN_083,4.25,418,41.8,-100.0
HFT_TITAN_079,4.05,417,41.7,-100.0
HFT_TITAN_189,9.55,417,41.7,-100.0
HFT_TITAN_139,7.05,416,41.6,-100.0
HFT_TITAN_168,8.5,416,41.6,-100.0
HFT_TITAN_156,7.9,416,41.6,-100.0
HFT_TITAN_194,9.8,416,41.6,-100.0
HFT_TITAN_188,9.5,415,41.5,-100.0
HFT_TITAN_111,5.65,415,41.5,-100.0
HFT_TITAN_034,1.8,414,41.4,-100.0
HFT_TITAN_165,8.35,411,41.1,-100.0
HFT_TITAN_020,1.1,411,41.1,-100.0
HFT_TITAN_033,1.75,409,40.9,-100.0
HFT_TITAN_082,4.2,409,40.9,-100.0
HFT_TITAN_170,8.6,408,40.8,-100.0
HFT_TITAN_160,8.1,408,40.8,-100.0
HFT_TITAN_085,4.35,405,40.5,-100.0
HFT_TITAN_198,10.0,404,40.4,-100.0
HFT_TITAN_096,4.9,403,40.3,-100.0
HFT_TITAN_094,4.8,403,40.3,-100.0
HFT_TITAN_112,5.7,402,40.2,-100.0
HFT_TITAN_066,3.4,401,40.1,-100.0
HFT_TITAN_136,6.9,396,39.6,-100.0
HFT_TITAN_149,7.55,396,39.6,-100.0
HFT_TITAN_046,2.4,395,39.5,-100.0
HFT_TITAN_039,2.05,393,39.3,-100.0
HFT_TITAN_117,5.95,393,39.3,-100.0
HFT_TITAN_041,2.15,393,39.3,-100.0
HFT_TITAN_068,3.5,392,39.2,-100.0
HFT_TITAN_019,1.05,392,39.2,-100.0
HFT_TITAN_196,9.9,392,39.2,-100.0
HFT_TITAN_171,8.65,391,39.1,-100.0
HFT_TITAN_028,1.5,391,39.1,-100.0
HFT_TITAN_119,6.05,390,39.0,-100.0
HFT_TITAN_162,8.2,390,39.0,-100.0
HFT_TITAN_090,4.6,389,38.9,-100.0
HFT_TITAN_076,3.9,388,38.8,-100.0
HFT_TITAN_088,4.5,387,38.7,-100.0
HFT_TITAN_102,5.2,387,38.7,-100.0
HFT_TITAN_130,6.6,387,38.7,-100.0
HFT_TITAN_099,5.05,386,38.6,-100.0
HFT_TITAN_186,9.4,385,38.5,-100.0
HFT_TITAN_195,9.85,385,38.5,-100.0
HFT_TITAN_173,8.75,380,38.0,-100.0
HFT_TITAN_018,1.0,379,37.9,-100.0
HFT_TITAN_087,4.45,379,37.9,-100.0
HFT_TITAN_155,7.85,379,37.9,-100.0
HFT_TITAN_047,2.45,379,37.9,-100.0
HFT_TITAN_146,7.4,378,37.8,-100.0
HFT_TITAN_077,3.95,376,37.6,-100.0
HFT_TITAN_011,0.65,375,37.5,-100.0
HFT_TITAN_070,3.6,375,37.5,-100.0
HFT_TITAN_129,6.55,375,37.5,-100.0
HFT_TITAN_043,2.25,373,37.3,-100.0
HFT_TITAN_084,4.3,372,37.2,-100.0
HFT_TITAN_060,3.1,372,37.2,-100.0
HFT_TITAN_050,2.6,372,37.2,-100.0
HFT_TITAN_048,2.5,372,37.2,-100.0
HFT_TITAN_022,1.2,371,37.1,-100.0
HFT_TITAN_032,1.7,370,37.0,-100.0
HFT_TITAN_167,8.45,369,36.9,-100.0
HFT_TITAN_134,6.8,369,36.9,-100.0
HFT_TITAN_053,2.75,369,36.9,-100.0
HFT_TITAN_115,5.85,368,36.8,-100.0
HFT_TITAN_187,9.45,367,36.7,-100.0
HFT_TITAN_072,3.7,367,36.7,-100.0
HFT_TITAN_100,5.1,366,36.6,-100.0
