ID,TP_USD,TOTAL_TRADES,TRADES_DIA,ROI,ESTADO
METRALLETA_159,80.0,2451,175.1,-100.0,LIQUIDADO
METRALLETA_180,90.5,2366,169.0,-100.0,LIQUIDADO
METRALLETA_188,94.5,2366,169.0,-100.0,LIQUIDADO
METRALLETA_198,99.5,2360,168.6,-100.0,LIQUIDADO
METRALLETA_195,98.0,2360,168.6,-100.0,LIQUIDADO
METRALLETA_153,77.0,2353,168.1,-100.0,LIQUIDADO
METRALLETA_187,94.0,2330,166.4,-100.0,LIQUIDADO
METRALLETA_133,67.0,2320,165.7,-100.0,LIQUIDADO
METRALLETA_181,91.0,2314,165.3,-100.0,LIQUIDADO
METRALLETA_156,78.5,2311,165.1,-100.0,LIQUIDADO
METRALLETA_166,83.5,2307,164.8,-100.0,LIQUIDADO
METRALLETA_189,95.0,2304,164.6,-100.0,LIQUIDADO
METRALLETA_158,79.5,2303,164.5,-100.0,LIQUIDADO
METRALLETA_132,66.5,2301,164.4,-100.0,LIQUIDADO
METRALLETA_134,67.5,2301,164.4,-100.0,LIQUIDADO
METRALLETA_178,89.5,2299,164.2,-100.0,LIQUIDADO
METRALLETA_160,80.5,2294,163.9,-100.0,LIQUIDADO
METRALLETA_196,98.5,2289,163.5,-100.0,LIQUIDADO
METRALLETA_174,87.5,2275,162.5,-100.0,LIQUIDADO
METRALLETA_176,88.5,2273,162.4,-100.0,LIQUIDADO
METRALLETA_182,91.5,2272,162.3,-100.0,LIQUIDADO
METRALLETA_194,97.5,2256,161.1,-100.0,LIQUIDADO
METRALLETA_173,87.0,2255,161.1,-100.0,LIQUIDADO
METRALLETA_191,96.0,2254,161.0,-100.0,LIQUIDADO
METRALLETA_141,71.0,2245,160.4,-100.0,LIQUIDADO
METRALLETA_168,84.5,2241,160.1,-100.0,LIQUIDADO
METRALLETA_183,92.0,2238,159.9,-100.0,LIQUIDADO
METRALLETA_121,61.0,2234,159.6,-100.0,LIQUIDADO
METRALLETA_170,85.5,2220,158.6,-100.0,LIQUIDADO
METRALLETA_150,75.5,2219,158.5,-100.0,LIQUIDADO
METRALLETA_186,93.5,2218,158.4,-100.0,LIQUIDADO
METRALLETA_148,74.5,2218,158.4,-100.0,LIQUIDADO
METRALLETA_185,93.0,2216,158.3,-100.0,LIQUIDADO
METRALLETA_175,88.0,2213,158.1,-100.0,LIQUIDADO
METRALLETA_145,73.0,2213,158.1,-100.0,LIQUIDADO
METRALLETA_165,83.0,2211,157.9,-100.0,LIQUIDADO
METRALLETA_184,92.5,2207,157.6,-100.0,LIQUIDADO
METRALLETA_138,69.5,2200,157.1,-100.0,LIQUIDADO
METRALLETA_171,86.0,2199,157.1,-100.0,LIQUIDADO
METRALLETA_146,73.5,2196,156.9,-100.0,LIQUIDADO
METRALLETA_161,81.0,2196,156.9,-100.0,LIQUIDADO
METRALLETA_125,63.0,2195,156.8,-100.0,LIQUIDADO
METRALLETA_172,86.5,2191,156.5,-100.0,LIQUIDADO
METRALLETA_111,56.0,2183,155.9,-100.0,LIQUIDADO
METRALLETA_151,76.0,2181,155.8,-100.0,LIQUIDADO
METRALLETA_106,53.5,2172,155.1,-100.0,LIQUIDADO
METRALLETA_190,95.5,2169,154.9,-100.0,LIQUIDADO
METRALLETA_135,68.0,2165,154.6,-100.0,LIQUIDADO
METRALLETA_154,77.5,2164,154.6,-100.0,LIQUIDADO
METRALLETA_157,79.0,2163,154.5,-100.0,LIQUIDADO
METRALLETA_142,71.5,2162,154.4,-100.0,LIQUIDADO
METRALLETA_149,75.0,2159,154.2,-100.0,LIQUIDADO
METRALLETA_147,74.0,2155,153.9,-100.0,LIQUIDADO
METRALLETA_118,59.5,2149,153.5,-100.0,LIQUIDADO
METRALLETA_129,65.0,2149,153.5,-100.0,LIQUIDADO
METRALLETA_199,100.0,2145,153.2,-100.0,LIQUIDADO
METRALLETA_193,97.0,2144,153.1,-100.0,LIQUIDADO
