Strategy,Leverage,Risk,Trades,WinRate,ROI,MaxDD
Gold_Terminator_v0,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v1,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v2,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v3,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v4,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v5,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v6,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v7,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v8,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v9,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v10,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v11,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v12,10,0.01,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v13,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v14,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v15,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v16,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v17,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v18,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v19,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v20,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v21,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v22,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v23,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v24,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v25,10,0.05,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v26,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v27,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v28,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v29,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v30,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v31,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v32,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v33,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v34,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v35,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v36,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v37,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v38,10,0.1,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v39,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v40,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v41,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v42,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v43,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v44,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v45,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v46,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v47,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v48,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v49,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v50,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v51,10,0.25,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v52,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v53,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v54,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v55,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v56,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v57,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v58,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v59,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v60,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v61,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v62,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
Gold_Terminator_v63,10,0.5,2462,22.50203086921202,-83.84437339680004,-80.67360124949576
