ID,LOGICA,TRADES,ROI_PORCENTAJE,WIN_RATE
BOT_000,SCALPER,11960,267207.2,100.0
BOT_002,TREND_SNIPER,5909,205988.4,100.0
BOT_004,INSTITUTIONAL,3047,146042.5,100.0
BOT_006,SCALPER,1591,99988.3,100.0
BOT_008,TREND_SNIPER,915,71302.6,100.0
BOT_010,INSTITUTIONAL,574,53151.4,100.0
BOT_012,SCALPER,382,40868.4,100.0
BOT_014,TREND_SNIPER,272,32668.5,100.0
BOT_016,INSTITUTIONAL,191,25762.5,100.0
BOT_018,SCALPER,150,21830.8,100.0
BOT_020,TREND_SNIPER,114,17979.4,100.0
BOT_022,INSTITUTIONAL,84,14440.8,100.0
BOT_024,SCALPER,62,11613.1,100.0
BOT_026,TREND_SNIPER,46,9363.4,100.0
BOT_028,INSTITUTIONAL,41,8597.4,100.0
BOT_030,SCALPER,31,6992.8,100.0
BOT_032,TREND_SNIPER,25,5950.4,100.0
BOT_034,INSTITUTIONAL,21,5222.5,100.0
BOT_036,SCALPER,20,5032.9,100.0
BOT_038,TREND_SNIPER,18,4616.6,100.0
BOT_040,INSTITUTIONAL,15,3972.2,100.0
BOT_042,SCALPER,12,3290.1,100.0
BOT_044,TREND_SNIPER,11,3053.7,100.0
BOT_046,INSTITUTIONAL,7,2073.5,100.0
BOT_050,TREND_SNIPER,6,1814.1,100.0
BOT_048,SCALPER,6,1814.1,100.0
BOT_056,TREND_SNIPER,2,693.6,100.0
BOT_054,SCALPER,2,693.6,100.0
BOT_052,INSTITUTIONAL,2,693.6,100.0
BOT_058,INSTITUTIONAL,2,693.6,100.0
BOT_064,INSTITUTIONAL,1,365.9,100.0
BOT_060,SCALPER,1,365.9,100.0
BOT_066,SCALPER,1,365.9,100.0
BOT_062,TREND_SNIPER,1,365.9,100.0
BOT_148,INSTITUTIONAL,0,0.0,0.0
BOT_142,INSTITUTIONAL,0,0.0,0.0
BOT_143,TREND_SNIPER,0,0.0,0.0
BOT_144,SCALPER,0,0.0,0.0
BOT_145,INSTITUTIONAL,0,0.0,0.0
BOT_146,TREND_SNIPER,0,0.0,0.0
BOT_147,SCALPER,0,0.0,0.0
BOT_185,TREND_SNIPER,0,0.0,0.0
BOT_140,TREND_SNIPER,0,0.0,0.0
BOT_149,TREND_SNIPER,0,0.0,0.0
BOT_150,SCALPER,0,0.0,0.0
BOT_151,INSTITUTIONAL,0,0.0,0.0
BOT_152,TREND_SNIPER,0,0.0,0.0
BOT_153,SCALPER,0,0.0,0.0
BOT_154,INSTITUTIONAL,0,0.0,0.0
BOT_155,TREND_SNIPER,0,0.0,0.0
BOT_156,SCALPER,0,0.0,0.0
BOT_141,SCALPER,0,0.0,0.0
BOT_139,INSTITUTIONAL,0,0.0,0.0
BOT_158,TREND_SNIPER,0,0.0,0.0
BOT_138,SCALPER,0,0.0,0.0
BOT_119,TREND_SNIPER,0,0.0,0.0
BOT_120,SCALPER,0,0.0,0.0
BOT_121,INSTITUTIONAL,0,0.0,0.0
BOT_122,TREND_SNIPER,0,0.0,0.0
BOT_123,SCALPER,0,0.0,0.0
BOT_124,INSTITUTIONAL,0,0.0,0.0
BOT_125,TREND_SNIPER,0,0.0,0.0
BOT_126,SCALPER,0,0.0,0.0
BOT_127,INSTITUTIONAL,0,0.0,0.0
BOT_128,TREND_SNIPER,0,0.0,0.0
BOT_129,SCALPER,0,0.0,0.0
BOT_130,INSTITUTIONAL,0,0.0,0.0
BOT_131,TREND_SNIPER,0,0.0,0.0
BOT_132,SCALPER,0,0.0,0.0
BOT_133,INSTITUTIONAL,0,0.0,0.0
BOT_134,TREND_SNIPER,0,0.0,0.0
BOT_135,SCALPER,0,0.0,0.0
BOT_136,INSTITUTIONAL,0,0.0,0.0
BOT_137,TREND_SNIPER,0,0.0,0.0
BOT_157,INSTITUTIONAL,0,0.0,0.0
BOT_160,INSTITUTIONAL,0,0.0,0.0
BOT_159,SCALPER,0,0.0,0.0
BOT_184,INSTITUTIONAL,0,0.0,0.0
BOT_194,TREND_SNIPER,0,0.0,0.0
BOT_176,TREND_SNIPER,0,0.0,0.0
BOT_193,INSTITUTIONAL,0,0.0,0.0
BOT_177,SCALPER,0,0.0,0.0
BOT_192,SCALPER,0,0.0,0.0
BOT_178,INSTITUTIONAL,0,0.0,0.0
BOT_191,TREND_SNIPER,0,0.0,0.0
BOT_179,TREND_SNIPER,0,0.0,0.0
BOT_190,INSTITUTIONAL,0,0.0,0.0
BOT_180,SCALPER,0,0.0,0.0
BOT_189,SCALPER,0,0.0,0.0
BOT_181,INSTITUTIONAL,0,0.0,0.0
BOT_188,TREND_SNIPER,0,0.0,0.0
BOT_182,TREND_SNIPER,0,0.0,0.0
BOT_187,INSTITUTIONAL,0,0.0,0.0
BOT_183,SCALPER,0,0.0,0.0
BOT_186,SCALPER,0,0.0,0.0
BOT_175,INSTITUTIONAL,0,0.0,0.0
BOT_195,SCALPER,0,0.0,0.0
BOT_174,SCALPER,0,0.0,0.0
BOT_168,SCALPER,0,0.0,0.0
BOT_161,TREND_SNIPER,0,0.0,0.0
BOT_162,SCALPER,0,0.0,0.0
BOT_163,INSTITUTIONAL,0,0.0,0.0
BOT_164,TREND_SNIPER,0,0.0,0.0
BOT_165,SCALPER,0,0.0,0.0
BOT_166,INSTITUTIONAL,0,0.0,0.0
BOT_167,TREND_SNIPER,0,0.0,0.0
BOT_169,INSTITUTIONAL,0,0.0,0.0
BOT_196,INSTITUTIONAL,0,0.0,0.0
BOT_170,TREND_SNIPER,0,0.0,0.0
BOT_117,SCALPER,0,0.0,0.0
BOT_171,SCALPER,0,0.0,0.0
BOT_198,SCALPER,0,0.0,0.0
BOT_172,INSTITUTIONAL,0,0.0,0.0
BOT_197,TREND_SNIPER,0,0.0,0.0
BOT_173,TREND_SNIPER,0,0.0,0.0
BOT_118,INSTITUTIONAL,0,0.0,0.0
BOT_100,INSTITUTIONAL,0,0.0,0.0
BOT_116,TREND_SNIPER,0,0.0,0.0
BOT_079,INSTITUTIONAL,0,0.0,0.0
BOT_089,TREND_SNIPER,0,0.0,0.0
BOT_088,INSTITUTIONAL,0,0.0,0.0
BOT_087,SCALPER,0,0.0,0.0
