ID,MOV_GATILLO_USD,TOTAL_TRADES,TRADES_DIA,ROI_FINAL,EQUITY
TITAN_000,0.1,70,7.0,-100.0,0
TITAN_002,0.30000000000000004,70,7.0,-100.0,0
TITAN_003,0.4,70,7.0,-100.0,0
TITAN_004,0.5,70,7.0,-100.0,0
TITAN_005,0.6,70,7.0,-100.0,0
TITAN_006,0.7000000000000001,70,7.0,-100.0,0
TITAN_007,0.8,70,7.0,-100.0,0
TITAN_001,0.2,70,7.0,-100.0,0
TITAN_016,1.7000000000000002,69,6.9,-100.0,0
TITAN_023,2.4000000000000004,69,6.9,-100.0,0
TITAN_022,2.3000000000000003,69,6.9,-100.0,0
TITAN_021,2.2,69,6.9,-100.0,0
TITAN_020,2.1,69,6.9,-100.0,0
TITAN_019,2.0,69,6.9,-100.0,0
TITAN_018,1.9000000000000001,69,6.9,-100.0,0
TITAN_017,1.8000000000000003,69,6.9,-100.0,0
TITAN_014,1.5000000000000002,69,6.9,-100.0,0
TITAN_015,1.6,69,6.9,-100.0,0
TITAN_013,1.4000000000000001,69,6.9,-100.0,0
TITAN_012,1.3000000000000003,69,6.9,-100.0,0
TITAN_011,1.2000000000000002,69,6.9,-100.0,0
TITAN_010,1.1,69,6.9,-100.0,0
TITAN_009,1.0,69,6.9,-100.0,0
TITAN_008,0.9,69,6.9,-100.0,0
TITAN_024,2.5000000000000004,68,6.8,-100.0,0
TITAN_025,2.6,68,6.8,-100.0,0
TITAN_029,3.0000000000000004,67,6.7,-100.0,0
TITAN_031,3.2,67,6.7,-100.0,0
TITAN_030,3.1,67,6.7,-100.0,0
TITAN_032,3.3000000000000003,67,6.7,-100.0,0
TITAN_028,2.9000000000000004,67,6.7,-100.0,0
TITAN_027,2.8000000000000003,67,6.7,-100.0,0
TITAN_026,2.7,67,6.7,-100.0,0
TITAN_033,3.4000000000000004,66,6.6,-100.0,0
TITAN_034,3.5000000000000004,66,6.6,-100.0,0
TITAN_035,3.6,66,6.6,-100.0,0
TITAN_039,4.0,65,6.5,-100.0,0
TITAN_042,4.3,65,6.5,-100.0,0
TITAN_040,4.1,65,6.5,-100.0,0
TITAN_041,4.2,65,6.5,-100.0,0
TITAN_038,3.9000000000000004,65,6.5,-100.0,0
TITAN_037,3.8000000000000003,65,6.5,-100.0,0
TITAN_036,3.7,65,6.5,-100.0,0
TITAN_076,7.7,63,6.3,-100.0,0
TITAN_068,6.9,63,6.3,-100.0,0
TITAN_069,7.0,63,6.3,-100.0,0
TITAN_070,7.1,63,6.3,-100.0,0
TITAN_067,6.8,63,6.3,-100.0,0
TITAN_071,7.2,63,6.3,-100.0,0
TITAN_072,7.3,63,6.3,-100.0,0
TITAN_073,7.4,63,6.3,-100.0,0
TITAN_074,7.5,63,6.3,-100.0,0
TITAN_075,7.6,63,6.3,-100.0,0
TITAN_082,8.3,63,6.3,-100.0,0
TITAN_077,7.8,63,6.3,-100.0,0
TITAN_078,7.9,63,6.3,-100.0,0
TITAN_079,8.0,63,6.3,-100.0,0
TITAN_080,8.1,63,6.3,-100.0,0
TITAN_081,8.2,63,6.3,-100.0,0
TITAN_083,8.4,63,6.3,-100.0,0
TITAN_084,8.5,63,6.3,-100.0,0
TITAN_085,8.6,63,6.3,-100.0,0
TITAN_065,6.6,63,6.3,-100.0,0
TITAN_066,6.7,63,6.3,-100.0,0
TITAN_046,4.7,63,6.3,-100.0,0
TITAN_064,6.5,63,6.3,-100.0,0
TITAN_053,5.4,63,6.3,-100.0,0
TITAN_043,4.3999999999999995,63,6.3,-100.0,0
TITAN_044,4.5,63,6.3,-100.0,0
TITAN_045,4.6,63,6.3,-100.0,0
TITAN_047,4.8,63,6.3,-100.0,0
TITAN_048,4.9,63,6.3,-100.0,0
TITAN_049,5.0,63,6.3,-100.0,0
TITAN_063,6.4,63,6.3,-100.0,0
TITAN_051,5.2,63,6.3,-100.0,0
TITAN_052,5.3,63,6.3,-100.0,0
TITAN_050,5.1,63,6.3,-100.0,0
TITAN_054,5.5,63,6.3,-100.0,0
TITAN_055,5.6,63,6.3,-100.0,0
TITAN_056,5.7,63,6.3,-100.0,0
TITAN_057,5.8,63,6.3,-100.0,0
TITAN_058,5.9,63,6.3,-100.0,0
TITAN_059,6.0,63,6.3,-100.0,0
TITAN_060,6.1,63,6.3,-100.0,0
TITAN_061,6.2,63,6.3,-100.0,0
TITAN_062,6.3,63,6.3,-100.0,0
TITAN_093,9.4,62,6.2,-100.0,0
TITAN_099,10.0,62,6.2,-100.0,0
TITAN_098,9.9,62,6.2,-100.0,0
TITAN_097,9.8,62,6.2,-100.0,0
TITAN_096,9.700000000000001,62,6.2,-100.0,0
TITAN_095,9.6,62,6.2,-100.0,0
TITAN_094,9.5,62,6.2,-100.0,0
TITAN_100,10.1,62,6.2,-100.0,0
TITAN_092,9.3,62,6.2,-100.0,0
TITAN_090,9.1,62,6.2,-100.0,0
TITAN_089,9.0,62,6.2,-100.0,0
TITAN_088,8.9,62,6.2,-100.0,0
TITAN_087,8.8,62,6.2,-100.0,0
TITAN_086,8.7,62,6.2,-100.0,0
TITAN_091,9.2,62,6.2,-100.0,0
TITAN_119,12.0,61,6.1,-100.0,0
TITAN_115,11.6,61,6.1,-100.0,0
TITAN_116,11.700000000000001,61,6.1,-100.0,0
TITAN_117,11.8,61,6.1,-100.0,0
TITAN_118,11.9,61,6.1,-100.0,0
TITAN_122,12.3,61,6.1,-100.0,0
TITAN_120,12.1,61,6.1,-100.0,0
TITAN_121,12.200000000000001,61,6.1,-100.0,0
TITAN_113,11.4,61,6.1,-100.0,0
TITAN_123,12.4,61,6.1,-100.0,0
TITAN_114,11.5,61,6.1,-100.0,0
TITAN_124,12.5,61,6.1,-100.0,0
TITAN_112,11.3,61,6.1,-100.0,0
TITAN_106,10.700000000000001,61,6.1,-100.0,0
TITAN_102,10.3,61,6.1,-100.0,0
TITAN_103,10.4,61,6.1,-100.0,0
TITAN_104,10.5,61,6.1,-100.0,0
TITAN_105,10.6,61,6.1,-100.0,0
TITAN_101,10.200000000000001,61,6.1,-100.0,0
TITAN_107,10.8,61,6.1,-100.0,0
TITAN_108,10.9,61,6.1,-100.0,0
TITAN_109,11.0,61,6.1,-100.0,0
TITAN_110,11.1,61,6.1,-100.0,0
TITAN_111,11.200000000000001,61,6.1,-100.0,0
TITAN_136,13.700000000000001,60,6.0,-100.0,0
TITAN_145,14.6,60,6.0,-100.0,0
TITAN_144,14.5,60,6.0,-100.0,0
TITAN_143,14.4,60,6.0,-100.0,0
TITAN_142,14.3,60,6.0,-100.0,0
TITAN_141,14.200000000000001,60,6.0,-100.0,0
TITAN_140,14.1,60,6.0,-100.0,0
TITAN_139,14.0,60,6.0,-100.0,0
TITAN_138,13.9,60,6.0,-100.0,0
TITAN_137,13.8,60,6.0,-100.0,0
TITAN_134,13.5,60,6.0,-100.0,0
TITAN_135,13.6,60,6.0,-100.0,0
TITAN_128,12.9,60,6.0,-100.0,0
TITAN_133,13.4,60,6.0,-100.0,0
TITAN_126,12.700000000000001,60,6.0,-100.0,0
TITAN_127,12.8,60,6.0,-100.0,0
TITAN_125,12.6,60,6.0,-100.0,0
TITAN_129,13.0,60,6.0,-100.0,0
TITAN_130,13.1,60,6.0,-100.0,0
TITAN_131,13.200000000000001,60,6.0,-100.0,0
TITAN_132,13.3,60,6.0,-100.0,0
TITAN_173,17.400000000000002,58,5.8,-100.0,0
TITAN_155,15.6,58,5.8,-100.0,0
TITAN_172,17.3,58,5.8,-100.0,0
TITAN_171,17.200000000000003,58,5.8,-100.0,0
TITAN_160,16.1,58,5.8,-100.0,0
TITAN_159,16.0,58,5.8,-100.0,0
TITAN_158,15.9,58,5.8,-100.0,0
TITAN_157,15.8,58,5.8,-100.0,0
TITAN_156,15.700000000000001,58,5.8,-100.0,0
TITAN_147,14.8,58,5.8,-100.0,0
TITAN_154,15.5,58,5.8,-100.0,0
TITAN_153,15.4,58,5.8,-100.0,0
TITAN_152,15.3,58,5.8,-100.0,0
TITAN_151,15.200000000000001,58,5.8,-100.0,0
TITAN_150,15.1,58,5.8,-100.0,0
TITAN_146,14.700000000000001,58,5.8,-100.0,0
TITAN_148,14.9,58,5.8,-100.0,0
TITAN_149,15.0,58,5.8,-100.0,0
TITAN_176,17.700000000000003,57,5.7,-100.0,0
TITAN_175,17.6,57,5.7,-100.0,0
TITAN_174,17.500000000000004,57,5.7,-100.0,0
TITAN_167,16.8,57,5.7,-100.0,0
TITAN_166,16.700000000000003,57,5.7,-100.0,0
TITAN_165,16.6,57,5.7,-100.0,0
TITAN_164,16.500000000000004,57,5.7,-100.0,0
TITAN_163,16.400000000000002,57,5.7,-100.0,0
TITAN_162,16.3,57,5.7,-100.0,0
TITAN_161,16.200000000000003,57,5.7,-100.0,0
TITAN_177,17.8,57,5.7,-100.0,0
TITAN_185,18.6,56,5.6,-100.0,0
TITAN_186,18.700000000000003,56,5.6,-100.0,0
TITAN_187,18.8,56,5.6,-100.0,0
TITAN_189,19.000000000000004,56,5.6,-100.0,0
TITAN_188,18.900000000000002,56,5.6,-100.0,0
TITAN_183,18.400000000000002,56,5.6,-100.0,0
TITAN_190,19.1,56,5.6,-100.0,0
TITAN_184,18.500000000000004,56,5.6,-100.0,0
TITAN_178,17.900000000000002,56,5.6,-100.0,0
TITAN_182,18.3,56,5.6,-100.0,0
TITAN_181,18.200000000000003,56,5.6,-100.0,0
TITAN_180,18.1,56,5.6,-100.0,0
TITAN_179,18.000000000000004,56,5.6,-100.0,0
TITAN_170,17.1,56,5.6,-100.0,0
TITAN_169,17.000000000000004,56,5.6,-100.0,0
TITAN_168,16.900000000000002,56,5.6,-100.0,0
TITAN_191,19.200000000000003,55,5.5,-100.0,0
TITAN_192,19.300000000000004,55,5.5,-100.0,0
TITAN_193,19.400000000000002,55,5.5,-100.0,0
TITAN_194,19.500000000000004,55,5.5,-100.0,0
TITAN_195,19.6,55,5.5,-100.0,0
TITAN_196,19.700000000000003,55,5.5,-100.0,0
TITAN_197,19.800000000000004,55,5.5,-100.0,0
TITAN_198,19.900000000000002,55,5.5,-100.0,0
TITAN_199,20.000000000000004,55,5.5,-100.0,0
