ID,Logica,Horario,Lotaje,ROI,WinRate,Trades,MaxDD
1,SMC_Institutional,8-11,0.01,-7.03%,19.27%,436,-6.29%
2,SMC_Institutional,8-11,0.05,-7.03%,19.27%,436,-6.29%
3,SMC_Institutional,8-11,0.1,-7.03%,19.27%,436,-6.29%
4,SMC_Institutional,8-11,0.2,-7.03%,19.27%,436,-6.29%
5,SMC_Institutional,13-16,0.01,-7.03%,19.27%,436,-6.29%
6,SMC_Institutional,13-16,0.05,-7.03%,19.27%,436,-6.29%
7,SMC_Institutional,13-16,0.1,-7.03%,19.27%,436,-6.29%
8,SMC_Institutional,13-16,0.2,-7.03%,19.27%,436,-6.29%
9,SMC_Institutional,20-23,0.01,-7.03%,19.27%,436,-6.29%
10,SMC_Institutional,20-23,0.05,-7.03%,19.27%,436,-6.29%
11,SMC_Institutional,20-23,0.1,-7.03%,19.27%,436,-6.29%
12,SMC_Institutional,20-23,0.2,-7.03%,19.27%,436,-6.29%
13,SMC_Institutional,0-7,0.01,-7.03%,19.27%,436,-6.29%
14,SMC_Institutional,0-7,0.05,-7.03%,19.27%,436,-6.29%
15,SMC_Institutional,0-7,0.1,-7.03%,19.27%,436,-6.29%
16,SMC_Institutional,0-7,0.2,-7.03%,19.27%,436,-6.29%
17,ATR_Grid,8-11,0.01,-7.03%,19.27%,436,-6.29%
18,ATR_Grid,8-11,0.05,-7.03%,19.27%,436,-6.29%
19,ATR_Grid,8-11,0.1,-7.03%,19.27%,436,-6.29%
20,ATR_Grid,8-11,0.2,-7.03%,19.27%,436,-6.29%
21,ATR_Grid,13-16,0.01,-7.03%,19.27%,436,-6.29%
22,ATR_Grid,13-16,0.05,-7.03%,19.27%,436,-6.29%
23,ATR_Grid,13-16,0.1,-7.03%,19.27%,436,-6.29%
24,ATR_Grid,13-16,0.2,-7.03%,19.27%,436,-6.29%
25,ATR_Grid,20-23,0.01,-7.03%,19.27%,436,-6.29%
26,ATR_Grid,20-23,0.05,-7.03%,19.27%,436,-6.29%
27,ATR_Grid,20-23,0.1,-7.03%,19.27%,436,-6.29%
28,ATR_Grid,20-23,0.2,-7.03%,19.27%,436,-6.29%
29,ATR_Grid,0-7,0.01,-7.03%,19.27%,436,-6.29%
30,ATR_Grid,0-7,0.05,-7.03%,19.27%,436,-6.29%
31,ATR_Grid,0-7,0.1,-7.03%,19.27%,436,-6.29%
32,ATR_Grid,0-7,0.2,-7.03%,19.27%,436,-6.29%
33,HFT_Momentum,8-11,0.01,-7.03%,19.27%,436,-6.29%
34,HFT_Momentum,8-11,0.05,-7.03%,19.27%,436,-6.29%
35,HFT_Momentum,8-11,0.1,-7.03%,19.27%,436,-6.29%
36,HFT_Momentum,8-11,0.2,-7.03%,19.27%,436,-6.29%
37,HFT_Momentum,13-16,0.01,-7.03%,19.27%,436,-6.29%
38,HFT_Momentum,13-16,0.05,-7.03%,19.27%,436,-6.29%
39,HFT_Momentum,13-16,0.1,-7.03%,19.27%,436,-6.29%
40,HFT_Momentum,13-16,0.2,-7.03%,19.27%,436,-6.29%
41,HFT_Momentum,20-23,0.01,-7.03%,19.27%,436,-6.29%
42,HFT_Momentum,20-23,0.05,-7.03%,19.27%,436,-6.29%
43,HFT_Momentum,20-23,0.1,-7.03%,19.27%,436,-6.29%
44,HFT_Momentum,20-23,0.2,-7.03%,19.27%,436,-6.29%
45,HFT_Momentum,0-7,0.01,-7.03%,19.27%,436,-6.29%
46,HFT_Momentum,0-7,0.05,-7.03%,19.27%,436,-6.29%
47,HFT_Momentum,0-7,0.1,-7.03%,19.27%,436,-6.29%
48,HFT_Momentum,0-7,0.2,-7.03%,19.27%,436,-6.29%
49,ZigZag_Reversal,8-11,0.01,-7.03%,19.27%,436,-6.29%
50,ZigZag_Reversal,8-11,0.05,-7.03%,19.27%,436,-6.29%
51,ZigZag_Reversal,8-11,0.1,-7.03%,19.27%,436,-6.29%
52,ZigZag_Reversal,8-11,0.2,-7.03%,19.27%,436,-6.29%
53,ZigZag_Reversal,13-16,0.01,-7.03%,19.27%,436,-6.29%
54,ZigZag_Reversal,13-16,0.05,-7.03%,19.27%,436,-6.29%
55,ZigZag_Reversal,13-16,0.1,-7.03%,19.27%,436,-6.29%
56,ZigZag_Reversal,13-16,0.2,-7.03%,19.27%,436,-6.29%
57,ZigZag_Reversal,20-23,0.01,-7.03%,19.27%,436,-6.29%
58,ZigZag_Reversal,20-23,0.05,-7.03%,19.27%,436,-6.29%
59,ZigZag_Reversal,20-23,0.1,-7.03%,19.27%,436,-6.29%
60,ZigZag_Reversal,20-23,0.2,-7.03%,19.27%,436,-6.29%
61,ZigZag_Reversal,0-7,0.01,-7.03%,19.27%,436,-6.29%
62,ZigZag_Reversal,0-7,0.05,-7.03%,19.27%,436,-6.29%
63,ZigZag_Reversal,0-7,0.1,-7.03%,19.27%,436,-6.29%
64,ZigZag_Reversal,0-7,0.2,-7.03%,19.27%,436,-6.29%
65,Volatility_Shield,8-11,0.01,-7.03%,19.27%,436,-6.29%
