Estrategia_ID,Lotaje,ROI_%,WinRate_%,MaxDD_%,Trades_Totales,Balance_Final_USD
MicroScalp_v1,0.2,-9.2,50.79,22.83,41842,453.99
MicroScalp_v2,0.3,-13.8,50.79,31.91,41842,430.99
MicroScalp_v3,0.4,-18.4,50.79,39.84,41842,407.98
MicroScalp_v4,0.5,-23.0,50.79,46.81,41842,384.98
MicroScalp_v5,0.6,-27.6,50.79,52.99,41842,361.98
MicroScalp_v6,0.7,-32.21,50.79,58.52,41842,338.97
MicroScalp_v7,0.8,-36.81,50.79,63.48,41842,315.97
MicroScalp_v8,0.9,-41.41,50.79,67.96,41842,292.96
MicroScalp_v9,1.0,-46.01,50.79,72.03,41842,269.96
MicroScalp_v10,1.1,-50.61,50.79,75.73,41842,246.96
MicroScalp_v11,1.2,-55.21,50.79,79.13,41842,223.95
MicroScalp_v12,1.3,-59.81,50.79,82.25,41842,200.95
MicroScalp_v13,1.4,-64.41,50.79,85.13,41842,177.94
MicroScalp_v14,1.5,-69.01,50.79,87.79,41842,154.94
MicroScalp_v15,1.6,-73.61,50.79,90.26,41842,131.94
MicroScalp_v16,1.7,-78.21,50.79,92.56,41842,108.93
MicroScalp_v17,1.8,-82.81,50.79,94.7,41842,85.93
MicroScalp_v18,1.9,-87.42,50.79,96.7,41842,62.92
MicroScalp_v19,2.0,-92.02,50.79,98.58,41842,39.92
MicroScalp_v20,2.1,-100.0,50.77,100.34,41188,0.0
MicroScalp_v21,2.2,-100.0,50.35,101.66,9530,0.0
MicroScalp_v22,2.3,-100.0,50.35,105.11,9530,0.0
MicroScalp_v23,2.4,-100.0,50.36,101.24,9528,0.0
MicroScalp_v24,2.5,-100.0,50.38,102.38,9033,0.0
MicroScalp_v25,2.6,-100.0,50.39,102.34,9032,0.0
MicroScalp_v26,2.7,-100.0,50.39,105.16,9032,0.0
MicroScalp_v27,2.8,-100.0,50.4,100.45,9018,0.0
MicroScalp_v28,2.9,-100.0,50.4,102.96,9018,0.0
MicroScalp_v29,3.0,-100.0,50.4,105.42,9018,0.0
MicroScalp_v30,3.1,-100.0,51.77,100.64,4149,0.0
MicroScalp_v31,3.2,-100.0,51.61,101.02,3763,0.0
MicroScalp_v32,3.3,-100.0,51.61,103.14,3763,0.0
MicroScalp_v33,3.4,-100.0,51.61,105.23,3763,0.0
MicroScalp_v34,3.5,-100.0,51.61,107.27,3763,0.0
MicroScalp_v35,3.6,-100.0,51.61,109.27,3763,0.0
MicroScalp_v36,3.7,-100.0,51.64,101.57,3759,0.0
MicroScalp_v37,3.8,-100.0,51.64,103.33,3759,0.0
MicroScalp_v38,3.9,-100.0,51.64,100.45,3757,0.0
MicroScalp_v39,4.0,-100.0,51.62,101.28,3754,0.0
MicroScalp_v40,4.1,-100.0,51.62,102.86,3754,0.0
MicroScalp_v41,4.2,-100.0,51.62,104.41,3754,0.0
MicroScalp_v42,4.3,-100.0,51.62,105.93,3754,0.0
MicroScalp_v43,4.4,-100.0,51.62,107.43,3754,0.0
