ID,Estrategia,Logica,ROI_%,WinRate_%,MaxDD_%,Trades,Final_USD
1,Trend_Sniper_v1,Trend_Sniper,-100.0,40.0,101.31,5,0.0
2,Mean_Reversion_v2,Mean_Reversion,0.0,0.0,0.0,0,500.0
3,Dynamic_Grid_v3,Dynamic_Grid,0.0,0.0,0.0,0,500.0
4,SMC_Institutional_v4,SMC_Institutional,-100.0,22.22,100.71,9,0.0
5,Trend_Sniper_v5,Trend_Sniper,-100.0,44.44,115.48,9,0.0
6,Mean_Reversion_v6,Mean_Reversion,0.0,0.0,0.0,0,500.0
7,Dynamic_Grid_v7,Dynamic_Grid,0.0,0.0,0.0,0,500.0
8,SMC_Institutional_v8,SMC_Institutional,-100.0,33.33,166.23,6,0.0
9,Trend_Sniper_v9,Trend_Sniper,-100.0,33.33,113.11,12,0.0
10,Mean_Reversion_v10,Mean_Reversion,0.0,0.0,0.0,0,500.0
11,Dynamic_Grid_v11,Dynamic_Grid,0.0,0.0,0.0,0,500.0
12,SMC_Institutional_v12,SMC_Institutional,-100.0,28.57,106.7,7,0.0
13,Trend_Sniper_v13,Trend_Sniper,-100.0,33.33,103.16,12,0.0
14,Mean_Reversion_v14,Mean_Reversion,0.0,0.0,0.0,0,500.0
15,Dynamic_Grid_v15,Dynamic_Grid,0.0,0.0,0.0,0,500.0
16,SMC_Institutional_v16,SMC_Institutional,-100.0,15.38,102.62,13,0.0
17,Trend_Sniper_v17,Trend_Sniper,-100.0,34.78,113.57,23,0.0
18,Mean_Reversion_v18,Mean_Reversion,0.0,0.0,0.0,0,500.0
19,Dynamic_Grid_v19,Dynamic_Grid,0.0,0.0,0.0,0,500.0
20,SMC_Institutional_v20,SMC_Institutional,-100.0,33.33,160.56,6,0.0
21,Trend_Sniper_v21,Trend_Sniper,-100.0,30.77,122.24,13,0.0
22,Mean_Reversion_v22,Mean_Reversion,0.0,0.0,0.0,0,500.0
23,Dynamic_Grid_v23,Dynamic_Grid,0.0,0.0,0.0,0,500.0
24,SMC_Institutional_v24,SMC_Institutional,-100.0,33.33,152.17,6,0.0
25,Trend_Sniper_v25,Trend_Sniper,-100.0,30.77,107.83,13,0.0
26,Mean_Reversion_v26,Mean_Reversion,0.0,0.0,0.0,0,500.0
27,Dynamic_Grid_v27,Dynamic_Grid,0.0,0.0,0.0,0,500.0
28,SMC_Institutional_v28,SMC_Institutional,-100.0,33.33,120.89,6,0.0
29,Trend_Sniper_v29,Trend_Sniper,-100.0,40.0,117.92,10,0.0
30,Mean_Reversion_v30,Mean_Reversion,0.0,0.0,0.0,0,500.0
31,Dynamic_Grid_v31,Dynamic_Grid,0.0,0.0,0.0,0,500.0
32,SMC_Institutional_v32,SMC_Institutional,-100.0,33.33,133.62,6,0.0
33,Trend_Sniper_v33,Trend_Sniper,-100.0,30.77,144.92,13,0.0
34,Mean_Reversion_v34,Mean_Reversion,0.0,0.0,0.0,0,500.0
35,Dynamic_Grid_v35,Dynamic_Grid,0.0,0.0,0.0,0,500.0
36,SMC_Institutional_v36,SMC_Institutional,-100.0,40.0,110.45,5,0.0
37,Trend_Sniper_v37,Trend_Sniper,-100.0,44.44,130.56,9,0.0
38,Mean_Reversion_v38,Mean_Reversion,0.0,0.0,0.0,0,500.0
39,Dynamic_Grid_v39,Dynamic_Grid,0.0,0.0,0.0,0,500.0
40,SMC_Institutional_v40,SMC_Institutional,-100.0,33.33,175.46,6,0.0
41,Trend_Sniper_v41,Trend_Sniper,-100.0,40.0,119.81,10,0.0
42,Mean_Reversion_v42,Mean_Reversion,0.0,0.0,0.0,0,500.0
43,Dynamic_Grid_v43,Dynamic_Grid,0.0,0.0,0.0,0,500.0
44,SMC_Institutional_v44,SMC_Institutional,-100.0,28.57,108.45,7,0.0
45,Trend_Sniper_v45,Trend_Sniper,-100.0,44.44,118.83,9,0.0
46,Mean_Reversion_v46,Mean_Reversion,0.0,0.0,0.0,0,500.0
47,Dynamic_Grid_v47,Dynamic_Grid,0.0,0.0,0.0,0,500.0
48,SMC_Institutional_v48,SMC_Institutional,-100.0,33.33,161.92,6,0.0
49,Trend_Sniper_v49,Trend_Sniper,-100.0,33.33,111.8,12,0.0
50,Mean_Reversion_v50,Mean_Reversion,0.0,0.0,0.0,0,500.0
51,Dynamic_Grid_v51,Dynamic_Grid,0.0,0.0,0.0,0,500.0
52,SMC_Institutional_v52,SMC_Institutional,-100.0,25.0,107.85,8,0.0
53,Trend_Sniper_v53,Trend_Sniper,-100.0,30.77,115.28,13,0.0
54,Mean_Reversion_v54,Mean_Reversion,0.0,0.0,0.0,0,500.0
55,Dynamic_Grid_v55,Dynamic_Grid,0.0,0.0,0.0,0,500.0
56,SMC_Institutional_v56,SMC_Institutional,-100.0,43.9,100.68,82,0.0
57,Trend_Sniper_v57,Trend_Sniper,-100.0,44.44,142.18,9,0.0
58,Mean_Reversion_v58,Mean_Reversion,0.0,0.0,0.0,0,500.0
59,Dynamic_Grid_v59,Dynamic_Grid,0.0,0.0,0.0,0,500.0
60,SMC_Institutional_v60,SMC_Institutional,-100.0,33.33,138.32,6,0.0
61,Trend_Sniper_v61,Trend_Sniper,-100.0,33.33,102.56,12,0.0
62,Mean_Reversion_v62,Mean_Reversion,0.0,0.0,0.0,0,500.0
63,Dynamic_Grid_v63,Dynamic_Grid,0.0,0.0,0.0,0,500.0
64,SMC_Institutional_v64,SMC_Institutional,-100.0,40.0,100.34,5,0.0
65,Trend_Sniper_v65,Trend_Sniper,-100.0,40.0,110.58,10,0.0
66,Mean_Reversion_v66,Mean_Reversion,0.0,0.0,0.0,0,500.0
67,Dynamic_Grid_v67,Dynamic_Grid,0.0,0.0,0.0,0,500.0
68,SMC_Institutional_v68,SMC_Institutional,-100.0,28.57,129.21,7,0.0
69,Trend_Sniper_v69,Trend_Sniper,-100.0,40.0,101.95,5,0.0
70,Mean_Reversion_v70,Mean_Reversion,0.0,0.0,0.0,0,500.0
71,Dynamic_Grid_v71,Dynamic_Grid,0.0,0.0,0.0,0,500.0
72,SMC_Institutional_v72,SMC_Institutional,-100.0,33.33,159.69,6,0.0
73,Trend_Sniper_v73,Trend_Sniper,-100.0,44.44,122.11,9,0.0
74,Mean_Reversion_v74,Mean_Reversion,0.0,0.0,0.0,0,500.0
75,Dynamic_Grid_v75,Dynamic_Grid,0.0,0.0,0.0,0,500.0
76,SMC_Institutional_v76,SMC_Institutional,-100.0,33.33,147.38,6,0.0
77,Trend_Sniper_v77,Trend_Sniper,-100.0,44.44,126.11,9,0.0
78,Mean_Reversion_v78,Mean_Reversion,0.0,0.0,0.0,0,500.0
79,Dynamic_Grid_v79,Dynamic_Grid,0.0,0.0,0.0,0,500.0
80,SMC_Institutional_v80,SMC_Institutional,-100.0,28.57,122.54,7,0.0
81,Trend_Sniper_v81,Trend_Sniper,-100.0,44.44,139.8,9,0.0
82,Mean_Reversion_v82,Mean_Reversion,0.0,0.0,0.0,0,500.0
83,Dynamic_Grid_v83,Dynamic_Grid,0.0,0.0,0.0,0,500.0
84,SMC_Institutional_v84,SMC_Institutional,-100.0,15.38,107.18,13,0.0
85,Trend_Sniper_v85,Trend_Sniper,-100.0,44.44,108.3,9,0.0
86,Mean_Reversion_v86,Mean_Reversion,0.0,0.0,0.0,0,500.0
87,Dynamic_Grid_v87,Dynamic_Grid,0.0,0.0,0.0,0,500.0
88,SMC_Institutional_v88,SMC_Institutional,-100.0,33.33,148.7,6,0.0
89,Trend_Sniper_v89,Trend_Sniper,-100.0,30.77,100.12,13,0.0
90,Mean_Reversion_v90,Mean_Reversion,0.0,0.0,0.0,0,500.0
91,Dynamic_Grid_v91,Dynamic_Grid,0.0,0.0,0.0,0,500.0
92,SMC_Institutional_v92,SMC_Institutional,-100.0,33.33,130.51,6,0.0
93,Trend_Sniper_v93,Trend_Sniper,-100.0,30.77,130.12,13,0.0
94,Mean_Reversion_v94,Mean_Reversion,0.0,0.0,0.0,0,500.0
95,Dynamic_Grid_v95,Dynamic_Grid,0.0,0.0,0.0,0,500.0
96,SMC_Institutional_v96,SMC_Institutional,-100.0,33.33,149.98,6,0.0
97,Trend_Sniper_v97,Trend_Sniper,-100.0,34.78,101.78,23,0.0
98,Mean_Reversion_v98,Mean_Reversion,0.0,0.0,0.0,0,500.0
99,Dynamic_Grid_v99,Dynamic_Grid,0.0,0.0,0.0,0,500.0
100,SMC_Institutional_v100,SMC_Institutional,-100.0,25.0,113.92,8,0.0
101,Trend_Sniper_v101,Trend_Sniper,-100.0,40.0,127.52,10,0.0
102,Mean_Reversion_v102,Mean_Reversion,0.0,0.0,0.0,0,500.0
103,Dynamic_Grid_v103,Dynamic_Grid,0.0,0.0,0.0,0,500.0
104,SMC_Institutional_v104,SMC_Institutional,-100.0,20.0,108.49,10,0.0
105,Trend_Sniper_v105,Trend_Sniper,-100.0,44.44,106.37,9,0.0
106,Mean_Reversion_v106,Mean_Reversion,0.0,0.0,0.0,0,500.0
107,Dynamic_Grid_v107,Dynamic_Grid,0.0,0.0,0.0,0,500.0
108,SMC_Institutional_v108,SMC_Institutional,-100.0,25.0,110.08,8,0.0
109,Trend_Sniper_v109,Trend_Sniper,-100.0,44.44,133.82,9,0.0
110,Mean_Reversion_v110,Mean_Reversion,0.0,0.0,0.0,0,500.0
111,Dynamic_Grid_v111,Dynamic_Grid,0.0,0.0,0.0,0,500.0
112,SMC_Institutional_v112,SMC_Institutional,-100.0,33.33,145.68,6,0.0
113,Trend_Sniper_v113,Trend_Sniper,-100.0,40.0,107.67,10,0.0
114,Mean_Reversion_v114,Mean_Reversion,0.0,0.0,0.0,0,500.0
115,Dynamic_Grid_v115,Dynamic_Grid,0.0,0.0,0.0,0,500.0
116,SMC_Institutional_v116,SMC_Institutional,-100.0,33.33,100.42,6,0.0
117,Trend_Sniper_v117,Trend_Sniper,-100.0,44.44,139.53,9,0.0
118,Mean_Reversion_v118,Mean_Reversion,0.0,0.0,0.0,0,500.0
119,Dynamic_Grid_v119,Dynamic_Grid,0.0,0.0,0.0,0,500.0
120,SMC_Institutional_v120,SMC_Institutional,-100.0,33.33,165.57,6,0.0
121,Trend_Sniper_v121,Trend_Sniper,-100.0,33.33,111.87,12,0.0
122,Mean_Reversion_v122,Mean_Reversion,0.0,0.0,0.0,0,500.0
123,Dynamic_Grid_v123,Dynamic_Grid,0.0,0.0,0.0,0,500.0
124,SMC_Institutional_v124,SMC_Institutional,-100.0,33.33,157.59,6,0.0
125,Trend_Sniper_v125,Trend_Sniper,-100.0,40.0,114.33,10,0.0
126,Mean_Reversion_v126,Mean_Reversion,0.0,0.0,0.0,0,500.0
127,Dynamic_Grid_v127,Dynamic_Grid,0.0,0.0,0.0,0,500.0
128,SMC_Institutional_v128,SMC_Institutional,-100.0,28.57,118.55,7,0.0
129,Trend_Sniper_v129,Trend_Sniper,-100.0,44.44,103.63,9,0.0
130,Mean_Reversion_v130,Mean_Reversion,0.0,0.0,0.0,0,500.0
131,Dynamic_Grid_v131,Dynamic_Grid,0.0,0.0,0.0,0,500.0
132,SMC_Institutional_v132,SMC_Institutional,-100.0,28.57,107.17,7,0.0
133,Trend_Sniper_v133,Trend_Sniper,-100.0,37.78,109.43,45,0.0
134,Mean_Reversion_v134,Mean_Reversion,0.0,0.0,0.0,0,500.0
135,Dynamic_Grid_v135,Dynamic_Grid,0.0,0.0,0.0,0,500.0
136,SMC_Institutional_v136,SMC_Institutional,-100.0,33.33,133.13,6,0.0
137,Trend_Sniper_v137,Trend_Sniper,-100.0,44.44,145.3,9,0.0
138,Mean_Reversion_v138,Mean_Reversion,0.0,0.0,0.0,0,500.0
139,Dynamic_Grid_v139,Dynamic_Grid,0.0,0.0,0.0,0,500.0
140,SMC_Institutional_v140,SMC_Institutional,-100.0,18.18,102.18,11,0.0
141,Trend_Sniper_v141,Trend_Sniper,-100.0,44.44,140.76,9,0.0
142,Mean_Reversion_v142,Mean_Reversion,0.0,0.0,0.0,0,500.0
143,Dynamic_Grid_v143,Dynamic_Grid,0.0,0.0,0.0,0,500.0
144,SMC_Institutional_v144,SMC_Institutional,-100.0,33.33,148.04,6,0.0
145,Trend_Sniper_v145,Trend_Sniper,-100.0,44.44,120.25,9,0.0
146,Mean_Reversion_v146,Mean_Reversion,0.0,0.0,0.0,0,500.0
147,Dynamic_Grid_v147,Dynamic_Grid,0.0,0.0,0.0,0,500.0
148,SMC_Institutional_v148,SMC_Institutional,-100.0,25.0,102.81,8,0.0
149,Trend_Sniper_v149,Trend_Sniper,-100.0,36.36,114.68,11,0.0
150,Mean_Reversion_v150,Mean_Reversion,0.0,0.0,0.0,0,500.0
151,Dynamic_Grid_v151,Dynamic_Grid,0.0,0.0,0.0,0,500.0
152,SMC_Institutional_v152,SMC_Institutional,-100.0,16.67,104.94,12,0.0
153,Trend_Sniper_v153,Trend_Sniper,-100.0,40.0,124.15,10,0.0
154,Mean_Reversion_v154,Mean_Reversion,0.0,0.0,0.0,0,500.0
155,Dynamic_Grid_v155,Dynamic_Grid,0.0,0.0,0.0,0,500.0
156,SMC_Institutional_v156,SMC_Institutional,-100.0,33.33,117.29,6,0.0
157,Trend_Sniper_v157,Trend_Sniper,-100.0,40.0,121.08,10,0.0
158,Mean_Reversion_v158,Mean_Reversion,0.0,0.0,0.0,0,500.0
159,Dynamic_Grid_v159,Dynamic_Grid,0.0,0.0,0.0,0,500.0
160,SMC_Institutional_v160,SMC_Institutional,-100.0,33.33,121.46,6,0.0
161,Trend_Sniper_v161,Trend_Sniper,-100.0,37.04,104.23,27,0.0
162,Mean_Reversion_v162,Mean_Reversion,0.0,0.0,0.0,0,500.0
163,Dynamic_Grid_v163,Dynamic_Grid,0.0,0.0,0.0,0,500.0
164,SMC_Institutional_v164,SMC_Institutional,-100.0,40.0,101.53,5,0.0
165,Trend_Sniper_v165,Trend_Sniper,-100.0,40.0,105.28,5,0.0
166,Mean_Reversion_v166,Mean_Reversion,0.0,0.0,0.0,0,500.0
167,Dynamic_Grid_v167,Dynamic_Grid,0.0,0.0,0.0,0,500.0
168,SMC_Institutional_v168,SMC_Institutional,-100.0,40.0,110.17,5,0.0
169,Trend_Sniper_v169,Trend_Sniper,-100.0,40.0,106.0,5,0.0
170,Mean_Reversion_v170,Mean_Reversion,0.0,0.0,0.0,0,500.0
171,Dynamic_Grid_v171,Dynamic_Grid,0.0,0.0,0.0,0,500.0
172,SMC_Institutional_v172,SMC_Institutional,-100.0,28.57,125.35,7,0.0
173,Trend_Sniper_v173,Trend_Sniper,-100.0,40.0,103.3,5,0.0
174,Mean_Reversion_v174,Mean_Reversion,0.0,0.0,0.0,0,500.0
175,Dynamic_Grid_v175,Dynamic_Grid,0.0,0.0,0.0,0,500.0
176,SMC_Institutional_v176,SMC_Institutional,-100.0,33.33,173.73,6,0.0
177,Trend_Sniper_v177,Trend_Sniper,-100.0,33.33,112.81,12,0.0
178,Mean_Reversion_v178,Mean_Reversion,0.0,0.0,0.0,0,500.0
179,Dynamic_Grid_v179,Dynamic_Grid,0.0,0.0,0.0,0,500.0
180,SMC_Institutional_v180,SMC_Institutional,-100.0,28.57,104.58,7,0.0
