ID,UMBRAL_GATILLO,TOTAL_TRADES,TRADES_DIA,ROI_FINAL,LIQUIDADO
TITAN_000,1.0,1,0.1,-100.0,SÍ
TITAN_137,14.700000000000001,1,0.1,-100.0,SÍ
TITAN_127,13.700000000000001,1,0.1,-100.0,SÍ
TITAN_128,13.8,1,0.1,-100.0,SÍ
TITAN_129,13.9,1,0.1,-100.0,SÍ
TITAN_130,14.0,1,0.1,-100.0,SÍ
TITAN_131,14.100000000000001,1,0.1,-100.0,SÍ
TITAN_132,14.200000000000001,1,0.1,-100.0,SÍ
TITAN_133,14.3,1,0.1,-100.0,SÍ
TITAN_134,14.4,1,0.1,-100.0,SÍ
TITAN_135,14.5,1,0.1,-100.0,SÍ
TITAN_136,14.600000000000001,1,0.1,-100.0,SÍ
TITAN_138,14.8,1,0.1,-100.0,SÍ
TITAN_001,1.1,1,0.1,-100.0,SÍ
TITAN_139,14.9,1,0.1,-100.0,SÍ
TITAN_140,15.0,1,0.1,-100.0,SÍ
TITAN_141,15.100000000000001,1,0.1,-100.0,SÍ
TITAN_142,15.200000000000001,1,0.1,-100.0,SÍ
TITAN_143,15.3,1,0.1,-100.0,SÍ
TITAN_144,15.4,1,0.1,-100.0,SÍ
TITAN_145,15.5,1,0.1,-100.0,SÍ
TITAN_146,15.600000000000001,1,0.1,-100.0,SÍ
TITAN_147,15.700000000000001,1,0.1,-100.0,SÍ
TITAN_148,15.8,1,0.1,-100.0,SÍ
TITAN_126,13.600000000000001,1,0.1,-100.0,SÍ
TITAN_125,13.5,1,0.1,-100.0,SÍ
TITAN_124,13.4,1,0.1,-100.0,SÍ
TITAN_123,13.3,1,0.1,-100.0,SÍ
TITAN_102,11.200000000000001,1,0.1,-100.0,SÍ
TITAN_103,11.3,1,0.1,-100.0,SÍ
TITAN_104,11.4,1,0.1,-100.0,SÍ
TITAN_105,11.5,1,0.1,-100.0,SÍ
TITAN_106,11.600000000000001,1,0.1,-100.0,SÍ
TITAN_107,11.700000000000001,1,0.1,-100.0,SÍ
TITAN_108,11.8,1,0.1,-100.0,SÍ
TITAN_109,11.9,1,0.1,-100.0,SÍ
TITAN_110,12.0,1,0.1,-100.0,SÍ
TITAN_111,12.100000000000001,1,0.1,-100.0,SÍ
TITAN_112,12.200000000000001,1,0.1,-100.0,SÍ
TITAN_113,12.3,1,0.1,-100.0,SÍ
TITAN_114,12.4,1,0.1,-100.0,SÍ
TITAN_115,12.5,1,0.1,-100.0,SÍ
TITAN_116,12.600000000000001,1,0.1,-100.0,SÍ
TITAN_117,12.700000000000001,1,0.1,-100.0,SÍ
TITAN_118,12.8,1,0.1,-100.0,SÍ
TITAN_119,12.9,1,0.1,-100.0,SÍ
TITAN_120,13.0,1,0.1,-100.0,SÍ
TITAN_121,13.100000000000001,1,0.1,-100.0,SÍ
TITAN_122,13.200000000000001,1,0.1,-100.0,SÍ
TITAN_149,15.9,1,0.1,-100.0,SÍ
