ID,DISPARO_USD,TOTAL_TRADES,TRADES_DIA,ROI_FINAL,ESTADO
TITAN_008,4.5,18370,1312.1,-100.0,LIQUIDADO
TITAN_003,2.0,18367,1311.9,-100.0,LIQUIDADO
TITAN_007,4.0,18340,1310.0,-100.0,LIQUIDADO
TITAN_002,1.5,18336,1309.7,-100.0,LIQUIDADO
TITAN_010,5.5,18302,1307.3,-100.0,LIQUIDADO
TITAN_001,1.0,18295,1306.8,-100.0,LIQUIDADO
TITAN_009,5.0,18231,1302.2,-100.0,LIQUIDADO
TITAN_000,0.5,18191,1299.4,-100.0,LIQUIDADO
TITAN_011,6.0,18155,1296.8,-99.61,SOBREVIVE
TITAN_006,3.5,18136,1295.4,-100.0,LIQUIDADO
TITAN_004,2.5,18106,1293.3,-100.0,LIQUIDADO
TITAN_005,3.0,17948,1282.0,-100.0,LIQUIDADO
TITAN_012,6.5,17943,1281.6,-98.25,SOBREVIVE
TITAN_013,7.0,17696,1264.0,-96.2,SOBREVIVE
TITAN_014,7.5,17480,1248.6,-94.5,SOBREVIVE
TITAN_015,8.0,17261,1232.9,-95.78,SOBREVIVE
TITAN_016,8.5,17062,1218.7,-92.23,SOBREVIVE
TITAN_017,9.0,16851,1203.6,-92.1,SOBREVIVE
TITAN_018,9.5,16639,1188.5,-90.78,SOBREVIVE
TITAN_019,10.0,16439,1174.2,-90.1,SOBREVIVE
TITAN_020,10.5,16229,1159.2,-87.92,SOBREVIVE
TITAN_021,11.0,16002,1143.0,-86.75,SOBREVIVE
TITAN_022,11.5,15761,1125.8,-85.73,SOBREVIVE
TITAN_023,12.0,15534,1109.6,-85.3,SOBREVIVE
TITAN_024,12.5,15296,1092.6,-83.61,SOBREVIVE
TITAN_025,13.0,15096,1078.3,-81.54,SOBREVIVE
TITAN_026,13.5,14885,1063.2,-82.22,SOBREVIVE
TITAN_027,14.0,14670,1047.9,-80.59,SOBREVIVE
TITAN_028,14.5,14483,1034.5,-80.73,SOBREVIVE
TITAN_029,15.0,14291,1020.8,-77.29,SOBREVIVE
TITAN_030,15.5,14114,1008.1,-77.67,SOBREVIVE
