ID,GATILLO_USD,TOTAL_TRADES,TRADES_DIA,ROI_FINAL,EQUITY
TITAN_HFT_000,0.05,19,1.4,-100.0,0
TITAN_HFT_137,6.9,19,1.4,-100.0,0
TITAN_HFT_127,6.4,19,1.4,-100.0,0
TITAN_HFT_128,6.45,19,1.4,-100.0,0
TITAN_HFT_129,6.5,19,1.4,-100.0,0
TITAN_HFT_130,6.55,19,1.4,-100.0,0
TITAN_HFT_131,6.6000000000000005,19,1.4,-100.0,0
TITAN_HFT_132,6.65,19,1.4,-100.0,0
TITAN_HFT_133,6.7,19,1.4,-100.0,0
TITAN_HFT_134,6.75,19,1.4,-100.0,0
TITAN_HFT_135,6.8,19,1.4,-100.0,0
TITAN_HFT_136,6.8500000000000005,19,1.4,-100.0,0
TITAN_HFT_138,6.95,19,1.4,-100.0,0
TITAN_HFT_001,0.1,19,1.4,-100.0,0
TITAN_HFT_139,7.0,19,1.4,-100.0,0
TITAN_HFT_140,7.05,19,1.4,-100.0,0
TITAN_HFT_141,7.1000000000000005,19,1.4,-100.0,0
TITAN_HFT_142,7.15,19,1.4,-100.0,0
TITAN_HFT_143,7.2,19,1.4,-100.0,0
TITAN_HFT_144,7.25,19,1.4,-100.0,0
TITAN_HFT_145,7.3,19,1.4,-100.0,0
TITAN_HFT_146,7.3500000000000005,19,1.4,-100.0,0
TITAN_HFT_147,7.4,19,1.4,-100.0,0
TITAN_HFT_148,7.45,19,1.4,-100.0,0
TITAN_HFT_126,6.3500000000000005,19,1.4,-100.0,0
TITAN_HFT_125,6.3,19,1.4,-100.0,0
TITAN_HFT_124,6.25,19,1.4,-100.0,0
TITAN_HFT_123,6.2,19,1.4,-100.0,0
TITAN_HFT_102,5.15,19,1.4,-100.0,0
TITAN_HFT_103,5.2,19,1.4,-100.0,0
TITAN_HFT_104,5.25,19,1.4,-100.0,0
TITAN_HFT_105,5.3,19,1.4,-100.0,0
TITAN_HFT_106,5.3500000000000005,19,1.4,-100.0,0
TITAN_HFT_107,5.4,19,1.4,-100.0,0
TITAN_HFT_108,5.45,19,1.4,-100.0,0
TITAN_HFT_109,5.5,19,1.4,-100.0,0
TITAN_HFT_110,5.55,19,1.4,-100.0,0
TITAN_HFT_111,5.6000000000000005,19,1.4,-100.0,0
TITAN_HFT_112,5.65,19,1.4,-100.0,0
TITAN_HFT_113,5.7,19,1.4,-100.0,0
TITAN_HFT_114,5.75,19,1.4,-100.0,0
TITAN_HFT_115,5.8,19,1.4,-100.0,0
TITAN_HFT_116,5.8500000000000005,19,1.4,-100.0,0
TITAN_HFT_117,5.9,19,1.4,-100.0,0
TITAN_HFT_118,5.95,19,1.4,-100.0,0
TITAN_HFT_119,6.0,19,1.4,-100.0,0
TITAN_HFT_120,6.05,19,1.4,-100.0,0
TITAN_HFT_121,6.1000000000000005,19,1.4,-100.0,0
TITAN_HFT_122,6.15,19,1.4,-100.0,0
TITAN_HFT_149,7.5,19,1.4,-100.0,0
TITAN_HFT_150,7.55,19,1.4,-100.0,0
TITAN_HFT_151,7.6000000000000005,19,1.4,-100.0,0
TITAN_HFT_176,8.850000000000001,19,1.4,-100.0,0
TITAN_HFT_178,8.950000000000001,19,1.4,-100.0,0
TITAN_HFT_179,9.000000000000002,19,1.4,-100.0,0
TITAN_HFT_180,9.05,19,1.4,-100.0,0
TITAN_HFT_181,9.100000000000001,19,1.4,-100.0,0
TITAN_HFT_182,9.15,19,1.4,-100.0,0
TITAN_HFT_183,9.200000000000001,19,1.4,-100.0,0
TITAN_HFT_184,9.250000000000002,19,1.4,-100.0,0
TITAN_HFT_185,9.3,19,1.4,-100.0,0
TITAN_HFT_186,9.350000000000001,19,1.4,-100.0,0
TITAN_HFT_187,9.4,19,1.4,-100.0,0
TITAN_HFT_188,9.450000000000001,19,1.4,-100.0,0
TITAN_HFT_189,9.500000000000002,19,1.4,-100.0,0
TITAN_HFT_190,9.55,19,1.4,-100.0,0
TITAN_HFT_191,9.600000000000001,19,1.4,-100.0,0
TITAN_HFT_192,9.650000000000002,19,1.4,-100.0,0
TITAN_HFT_193,9.700000000000001,19,1.4,-100.0,0
TITAN_HFT_194,9.750000000000002,19,1.4,-100.0,0
TITAN_HFT_195,9.8,19,1.4,-100.0,0
TITAN_HFT_196,9.850000000000001,19,1.4,-100.0,0
TITAN_HFT_197,9.900000000000002,19,1.4,-100.0,0
TITAN_HFT_198,9.950000000000001,19,1.4,-100.0,0
TITAN_HFT_177,8.9,19,1.4,-100.0,0
TITAN_HFT_175,8.8,19,1.4,-100.0,0
TITAN_HFT_152,7.65,19,1.4,-100.0,0
TITAN_HFT_174,8.750000000000002,19,1.4,-100.0,0
TITAN_HFT_153,7.7,19,1.4,-100.0,0
TITAN_HFT_154,7.75,19,1.4,-100.0,0
TITAN_HFT_155,7.8,19,1.4,-100.0,0
TITAN_HFT_156,7.8500000000000005,19,1.4,-100.0,0
TITAN_HFT_157,7.9,19,1.4,-100.0,0
TITAN_HFT_158,7.95,19,1.4,-100.0,0
TITAN_HFT_159,8.0,19,1.4,-100.0,0
TITAN_HFT_160,8.05,19,1.4,-100.0,0
TITAN_HFT_161,8.100000000000001,19,1.4,-100.0,0
TITAN_HFT_162,8.15,19,1.4,-100.0,0
TITAN_HFT_163,8.200000000000001,19,1.4,-100.0,0
TITAN_HFT_164,8.250000000000002,19,1.4,-100.0,0
TITAN_HFT_165,8.3,19,1.4,-100.0,0
TITAN_HFT_166,8.350000000000001,19,1.4,-100.0,0
TITAN_HFT_167,8.4,19,1.4,-100.0,0
TITAN_HFT_168,8.450000000000001,19,1.4,-100.0,0
TITAN_HFT_169,8.500000000000002,19,1.4,-100.0,0
TITAN_HFT_170,8.55,19,1.4,-100.0,0
TITAN_HFT_171,8.600000000000001,19,1.4,-100.0,0
TITAN_HFT_172,8.65,19,1.4,-100.0,0
TITAN_HFT_173,8.700000000000001,19,1.4,-100.0,0
TITAN_HFT_101,5.1000000000000005,19,1.4,-100.0,0
TITAN_HFT_100,5.05,19,1.4,-100.0,0
TITAN_HFT_099,5.0,19,1.4,-100.0,0
TITAN_HFT_025,1.3,19,1.4,-100.0,0
TITAN_HFT_027,1.4000000000000001,19,1.4,-100.0,0
TITAN_HFT_028,1.4500000000000002,19,1.4,-100.0,0
TITAN_HFT_029,1.5000000000000002,19,1.4,-100.0,0
TITAN_HFT_030,1.55,19,1.4,-100.0,0
TITAN_HFT_031,1.6,19,1.4,-100.0,0
TITAN_HFT_032,1.6500000000000001,19,1.4,-100.0,0
TITAN_HFT_033,1.7000000000000002,19,1.4,-100.0,0
TITAN_HFT_034,1.7500000000000002,19,1.4,-100.0,0
TITAN_HFT_035,1.8,19,1.4,-100.0,0
TITAN_HFT_036,1.85,19,1.4,-100.0,0
TITAN_HFT_037,1.9000000000000001,19,1.4,-100.0,0
TITAN_HFT_038,1.9500000000000002,19,1.4,-100.0,0
TITAN_HFT_039,2.0,19,1.4,-100.0,0
TITAN_HFT_040,2.05,19,1.4,-100.0,0
TITAN_HFT_041,2.1,19,1.4,-100.0,0
TITAN_HFT_042,2.15,19,1.4,-100.0,0
TITAN_HFT_043,2.1999999999999997,19,1.4,-100.0,0
TITAN_HFT_044,2.25,19,1.4,-100.0,0
TITAN_HFT_045,2.3,19,1.4,-100.0,0
TITAN_HFT_046,2.35,19,1.4,-100.0,0
TITAN_HFT_047,2.4,19,1.4,-100.0,0
TITAN_HFT_026,1.35,19,1.4,-100.0,0
